addressRegion,latitude,longitude,price,property-beds,property-baths,property-sqft,Acreage,Basement,Bath,Exterior,Exterior Features,Features,Fireplace,Heating,Partial Bathroom,Property Type,Roof,Sewer,Square Footage,Subdivision,Type,Parking,Flooring,Parking Features,Fireplace Features,MLS,has_fireplace,has_garage,dist_to_toronto_km,region_median_price
1,50.7417145,-120.7013245,329900.0,3.0,0.0,,0.14,382,1.0,2226,2226,2378,281,328,1.0,10,112,38,1415.0,1115,10,2159,1576,2159,494,10335418,1,0,3171.2592970104342,749945.0
1,49.5681419,-119.6824341,2300000.0,3.0,2.0,2472.0,7.29,382,1.0,1106,1106,1292,281,353,1.0,0,66,38,2472.0,1115,0,1154,1576,1154,494,10335575,1,0,3104.949496510599,749945.0
0,51.0689134,-114.0681963,599800.0,4.0,2.0,1028.0,0.07,60,1.0,1105,1105,1336,281,240,1.0,3,63,38,1028.0,1103,3,1185,129,1185,494,A2194739,1,1,2706.9738858094374,459700.0
0,53.480266,-113.447565,365503.0,3.0,3.0,,0.6,382,1.0,898,898,730,281,285,1.0,2,112,38,1415.0,1115,2,640,1576,640,494,E4421719,1,1,2697.2504587256362,459700.0
0,53.4802809,-113.4473845,365503.0,3.0,3.0,,0.6,382,1.0,898,898,730,281,285,1.0,2,112,38,1415.0,1115,2,640,1576,640,494,E4421720,1,1,2697.2389740678977,459700.0
1,49.8489702,-124.5159507,509900.0,2.0,2.0,1342.0,0.6,382,1.0,2226,2226,1190,155,328,1.0,1,112,38,1342.0,1115,1,1058,1576,1058,138,18693,1,0,3448.6144932196794,749945.0
1,50.581669,-127.063461,649000.0,4.0,3.0,2677.0,0.18,48,1.0,362,362,196,281,186,1.0,8,5,60,2677.0,1115,8,196,1576,196,494,988192,1,1,3619.626255535038,749945.0
0,53.620125,-114.297212,199000.0,3.0,0.0,,7.0,382,1.0,1128,1128,1379,281,328,1.0,10,112,38,1415.0,1115,10,2159,1576,2159,494,E4421718,1,0,2755.184205271826,459700.0
1,56.2405884,-120.7624099,469900.0,3.0,2.0,1339.0,5.25,382,1.0,1131,1131,975,155,328,1.0,8,16,38,1339.0,1115,8,865,1576,865,494,R2967098,1,1,3207.4992458398656,749945.0
1,54.0172757,-124.0000004,208500.0,3.0,1.0,1440.0,0.16,382,1.0,1131,1131,1178,155,336,1.0,8,16,38,1440.0,1115,8,1046,1576,1046,494,R2967100,1,0,3392.972075531505,749945.0
1,53.8692025,-122.7872884,799800.0,5.0,3.0,2920.0,0.17,54,1.0,2226,2226,975,155,328,1.0,8,16,38,2920.0,1115,8,865,1576,865,494,R2967102,1,1,3313.1799029572812,749945.0
1,49.6233711,-119.6895981,1999000.0,5.0,4.0,3370.0,0.32,83,0.0,939,939,311,155,563,0.0,8,66,21,3370.0,1115,8,302,1576,302,193,10335545,1,1,3105.0996616510297,749945.0
1,50.2368622,-119.2618637,2399000.0,3.0,4.0,3446.0,0.8,83,1.0,1106,1106,405,155,411,1.0,8,48,21,3446.0,1115,8,396,279,396,193,10335495,1,1,3071.386879000017,749945.0
1,50.2912903,-119.1972504,1199000.0,3.0,0.0,,84.54,382,1.0,2226,2226,2378,281,328,1.0,10,112,28,1415.0,1115,10,2159,1576,2159,494,10335487,1,0,3066.604433059909,749945.0
1,49.8392483,-119.6176327,624900.0,2.0,2.0,1597.0,0.1,26,0.0,1106,1106,311,155,353,0.0,8,22,21,1597.0,1115,8,302,562,302,193,10335411,1,1,3098.6235942941416,749945.0
